6400 64000
1 84 51
1 672 83
1 798 50
1 1010 5
1 1197 90
1 1225 78
1 1295 67
1 2100 33
1 3216 96
1 3423 65
1 4051 38
1 4065 84
1 4165 100
1 4481 88
1 4596 56
1 4892 56
1 5008 24
1 5136 44
1 5167 19
1 5188 26
1 5375 78
1 5677 72
1 6231 38
2 304 3
2 577 48
2 798 9
2 1298 25
2 1364 54
2 1500 92
2 2413 7
2 2513 69
2 3042 4
2 3052 91
2 3145 77
2 3188 76
2 3228 69
2 3452 93
2 3539 24
2 4049 47
2 4095 12
2 4714 40
2 4775 46
2 5072 20
2 6188 70
2 6389 45
3 360 9
3 446 31
3 1043 29
3 1166 59
3 1498 31
3 1638 14
3 2268 42
3 2400 69
3 2707 16
3 2788 88
3 2860 2
3 3503 3
3 3582 89
3 4364 38
3 4509 41
3 4563 98
3 5635 56
3 5815 77
4 467 36
4 737 61
4 746 10
4 871 98
4 1493 97
4 1753 47
4 1903 18
4 2437 18
4 2648 27
4 3123 68
4 3195 90
4 3816 28
4 4018 39
4 4238 89
4 4938 50
4 5032 55
4 5203 2
4 5707 6
4 6026 96
5 544 98
5 952 64
5 1233 78
5 1250 67
5 2198 90
5 2271 28
5 2675 53
5 2782 37
5 2890 11
5 2929 62
5 3004 26
5 3697 61
5 3817 20
5 3847 80
5 3917 61
5 3943 58
5 4502 19
5 4526 38
5 4788 48
5 4800 28
5 5001 46
5 5032 42
5 5878 69
5 6007 43
5 6179 4
6 109 89
6 127 94
6 635 50
6 640 86
6 803 98
6 989 8
6 1186 8
6 1565 26
6 1572 61
6 1832 94
6 2010 75
6 2133 9
6 2274 32
6 3060 54
6 3938 34
6 4044 12
6 4057 8
6 4201 37
6 4208 38
6 5375 37
6 5697 8
7 530 90
7 601 92
7 863 3
7 933 65
7 1397 35
7 1626 99
7 2353 84
7 2555 86
7 2900 17
7 3015 13
7 3215 45
7 3242 90
7 4147 94
7 4430 7
7 4560 88
7 4870 67
7 5141 42
7 5593 35
7 5646 67
7 5713 79
7 6087 13
7 6304 78
8 239 27
8 1457 72
8 1732 1
8 2119 49
8 2805 93
8 2821 35
8 2954 33
8 2984 30
8 3246 8
8 3454 27
8 3778 20
8 3910 14
8 3957 71
8 4144 45
8 4475 26
8 4791 83
8 4928 5
8 4980 96
8 4986 49
8 5473 37
8 5659 64
8 5691 18
8 5819 1
8 5964 22
8 6034 27
9 179 8
9 949 6
9 1538 84
9 1653 2
9 1698 9
9 2236 90
9 2448 32
9 2929 56
9 3584 37
9 4127 69
9 4949 91
9 5380 94
9 5413 37
9 5729 37
9 5800 99
9 6023 16
10 429 39
10 1983 65
10 2250 98
10 2428 46
10 3702 32
10 3713 73
10 4468 8
10 4538 99
10 4875 86
10 5016 9
10 5195 16
10 5333 8
10 5572 46
10 5713 22
10 6139 89
10 6196 46
11 991 47
11 1158 82
11 1253 84
11 1466 99
11 1532 9
11 2134 31
11 2888 95
11 2931 10
11 3732 93
11 3796 87
11 4080 3
11 4197 83
11 5010 41
11 5078 46
11 6080 6
11 6300 22
12 914 54
12 1071 53
12 1382 92
12 1739 28
12 1989 60
12 2062 1
12 2425 31
12 2492 3
12 2705 66
12 2797 5
12 2806 41
12 3906 67
12 4138 10
12 4304 5
12 4500 65
12 4663 20
12 5073 77
12 5281 88
12 5685 62
12 6210 2
13 805 56
13 1248 17
13 1560 63
13 2625 60
13 2797 61
13 2809 47
13 3470 18
13 3505 26
13 3806 43
13 4020 18
13 4301 18
13 4492 44
13 4878 25
13 4885 84
13 4934 46
13 6047 1
13 6207 40
13 6252 5
14 295 61
14 377 64
14 607 19
14 660 40
14 736 6
14 1314 51
14 1612 5
14 1669 46
14 2657 99
14 2992 57
14 3223 88
14 3544 96
14 3854 35
14 3937 74
14 4046 1
14 4067 38
14 4173 37
14 4597 20
14 5132 85
14 5136 36
14 5323 70
14 5373 68
14 5463 12
14 6253 84
14 6289 44
14 6318 38
15 28 70
15 448 23
15 955 63
15 1680 28
15 1727 22
15 1731 50
15 2058 27
15 2384 76
15 2945 81
15 3003 50
15 3689 36
15 3712 24
15 4225 85
15 5318 31
15 5458 90
15 5701 59
15 5842 65
15 6009 78
15 6112 67
16 184 56
16 660 65
16 869 9
16 1544 21
16 1780 31
16 1869 52
16 2188 13
16 2261 25
16 2317 5
16 2542 54
16 2594 73
16 2601 61
16 2757 71
16 2860 83
16 2871 11
16 2920 89
16 3166 31
16 3926 30
16 4493 66
16 5134 61
16 5204 31
16 5678 50
16 5797 94
16 5891 11
16 5982 44
16 5997 36
16 6360 53
16 6363 12
16 6398 69
17 423 70
17 642 50
17 905 20
17 912 26
17 934 94
17 1006 71
17 2633 40
17 2676 31
17 2917 97
17 3473 61
17 3540 25
17 3665 66
17 3736 34
17 4759 71
17 4798 78
17 5681 30
17 5845 78
17 5983 60
17 6374 51
18 39 62
18 149 34
18 296 64
18 633 74
18 813 84
18 1595 47
18 1722 91
18 1833 16
18 2377 11
18 3837 26
18 4300 48
18 4532 49
18 4819 26
18 5651 59
18 6010 68
18 6136 60
18 6318 57
19 112 73
19 127 10
19 1541 79
19 1721 77
19 2305 11
19 2573 9
19 2794 1
19 3060 13
19 3728 34
19 4264 10
19 4353 66
19 4815 48
19 5661 72
19 5816 79
19 5922 80
19 5973 91
20 135 80
20 1554 32
20 1771 57
20 2155 98
20 2464 85
20 2738 71
20 2843 7
20 3103 38
20 3140 35
20 3645 17
20 3769 92
20 4559 97
20 4777 29
20 5228 89
21 150 87
21 1012 36
21 1420 89
21 1594 57
21 1850 70
21 2084 100
21 2086 47
21 2150 38
21 2268 42
21 3097 22
21 3475 23
21 3798 6
21 4363 14
21 4665 53
21 5115 41
22 320 100
22 1011 31
22 1077 14
22 1650 26
22 1676 48
22 1813 83
22 2391 37
22 2445 47
22 2575 96
22 2745 10
22 3189 34
22 3209 90
22 3341 2
22 3383 90
22 3404 84
