64 640
1 2 45
1 6 92
1 11 4
1 14 31
1 20 53
1 26 25
1 28 86
1 30 11
1 33 32
1 37 75
1 38 22
1 39 74
1 45 53
1 46 8
1 51 86
1 56 11
1 60 97
1 61 9
2 4 5
2 8 71
2 10 32
2 16 20
2 19 8
2 22 100
2 23 82
2 27 2
2 28 35
2 30 23
2 31 35
2 35 45
2 39 87
2 45 94
2 46 49
2 48 69
2 50 38
2 52 81
2 54 29
2 57 28
2 62 62
3 4 96
3 5 32
3 7 4
3 8 22
3 14 28
3 16 95
3 17 83
3 19 80
3 23 22
3 24 6
3 29 13
3 30 92
3 31 89
3 32 13
3 36 12
3 39 33
3 41 54
3 43 31
3 46 26
3 48 14
3 53 44
3 57 63
3 58 35
3 62 23
3 0 79
4 11 64
4 12 51
4 15 50
4 17 98
4 19 99
4 20 73
4 25 64
4 29 2
4 30 59
4 31 98
4 32 49
4 35 77
4 39 61
4 42 98
4 46 34
4 53 23
4 56 98
4 57 29
4 59 32
4 60 43
5 6 100
5 7 72
5 10 82
5 11 21
5 12 71
5 14 36
5 15 49
5 18 54
5 19 63
5 22 10
5 24 99
5 25 80
5 32 55
5 35 92
5 36 16
5 37 95
5 40 93
5 43 90
5 45 33
5 47 75
5 56 45
5 60 18
5 61 21
6 8 54
6 12 2
6 14 44
6 18 37
6 32 64
6 37 61
6 48 15
6 52 12
6 58 41
6 61 15
6 63 44
6 0 69
7 17 30
7 22 77
7 32 54
7 33 4
7 35 81
7 36 29
7 38 82
7 44 93
7 47 42
7 49 89
7 52 74
7 58 65
7 61 87
7 63 51
8 9 11
8 11 77
8 14 12
8 15 44
8 16 86
8 18 65
8 21 62
8 22 53
8 26 52
8 27 54
8 32 27
8 37 92
8 38 45
8 41 89
8 46 39
8 48 4
8 52 49
8 53 3
8 56 28
8 59 35
8 60 1
8 62 19
8 63 59
9 10 69
9 12 37
9 16 17
9 21 28
9 24 12
9 25 21
9 32 68
9 35 94
9 36 26
9 37 63
9 42 87
9 44 90
9 45 65
9 52 93
9 53 67
9 56 73
9 60 80
10 11 75
10 13 11
10 20 76
10 28 91
10 30 35
10 32 62
10 41 97
10 43 86
10 45 22
10 50 87
10 51 74
10 54 85
10 62 68
10 63 76
11 14 18
11 21 52
11 24 57
11 35 98
11 36 82
11 38 74
11 45 87
11 51 83
11 52 76
11 57 70
11 58 47
11 62 75
11 0 27
12 16 2
12 19 96
12 21 70
12 22 80
12 23 84
12 26 3
12 27 70
12 36 9
12 39 50
12 43 89
12 44 23
12 45 10
12 49 63
12 53 32
12 57 45
12 59 92
12 63 71
13 17 79
13 21 84
13 22 31
13 26 93
13 27 71
13 28 53
13 33 34
13 40 60
13 41 40
13 46 92
13 53 74
13 55 14
13 57 39
13 58 76
13 0 54
14 17 93
14 18 25
14 19 63
14 20 85
14 25 1
14 27 98
14 28 44
14 29 29
14 36 52
14 40 86
14 41 66
14 42 89
14 43 99
14 44 9
14 45 48
14 48 89
14 49 56
14 53 22
14 55 73
14 56 20
14 58 82
14 59 1
15 16 9
15 24 86
15 25 49
15 33 98
15 36 70
15 45 26
15 48 22
15 51 46
15 53 48
15 58 89
15 59 59
15 60 4
15 61 20
15 62 41
15 63 99
15 0 87
16 18 63
16 23 27
16 24 100
16 27 92
16 29 19
16 30 34
16 31 91
16 34 70
16 36 57
16 43 4
16 47 57
16 48 21
16 50 87
16 51 95
16 58 86
16 62 73
16 63 5
17 18 63
17 20 97
17 22 34
17 24 56
17 29 61
17 30 96
17 33 94
17 36 40
17 37 59
17 38 26
17 42 61
17 43 27
17 47 51
17 50 9
17 51 74
17 52 88
17 56 77
17 57 78
17 58 57
18 19 76
18 23 22
18 27 77
18 28 29
18 29 64
18 30 34
18 33 39
18 34 78
18 38 17
18 41 56
18 42 30
18 52 98
18 54 41
18 55 30
18 57 76
18 61 23
19 21 11
19 22 5
19 24 42
19 25 24
19 32 83
19 33 75
19 35 49
19 40 2
19 44 98
19 47 69
19 50 6
19 52 18
19 54 34
19 61 7
20 21 60
20 22 91
20 29 69
20 33 77
20 34 75
20 39 24
20 40 57
20 48 11
20 50 6
20 54 21
20 55 60
20 56 50
20 61 63
20 63 54
21 34 85
21 36 17
21 41 31
21 43 73
21 50 7
21 55 24
21 59 50
22 27 5
22 29 38
22 33 93
22 34 85
22 48 25
22 51 57
22 54 74
22 55 2
22 56 97
22 58 32
22 60 57
22 61 7
22 62 91
22 63 21
23 25 49
23 26 78
23 27 18
23 29 17
23 31 84
23 32 14
23 35 63
23 40 95
23 42 22
23 43 83
23 44 11
23 48 70
23 49 11
23 50 67
23 58 59
23 59 32
24 26 45
24 27 46
24 28 19
24 29 1
